wall_s,phase,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,gyro_x,gyro_y,gyro_z,acc_z
1784786914.5379,arm_neutral,0.27,0,0,0,-9.539676830172539e-05,0.0005821810336783528,-1.293657987844199e-06,-10.1067533493042
1784786914.5583,arm_neutral,0.27,0,0,0,-8.465218706987798e-05,0.0005152425728738308,-4.892790457233787e-07,-10.103424072265625
1784786914.5786,arm_neutral,0.27,0,0,0,-7.938410271890461e-05,0.00048481248086318374,-7.711059879511595e-08,-10.10174560546875
1784786914.5989,arm_neutral,0.27,0,0,0,-7.279962301254272e-05,0.0004425605002325028,9.965879144147038e-08,-10.099254608154297
1784786914.6196,arm_neutral,0.27,0,0,0,-6.637090700678527e-05,0.0004037365724798292,1.19754986371845e-07,-10.096805572509766
1784786914.6398,arm_neutral,0.27,0,0,0,-6.09934504609555e-05,0.00036818411899730563,5.6250428315252066e-08,-10.094381332397461
1784786914.6601,arm_neutral,0.27,0,0,0,-5.502154817804694e-05,0.00033601652830839157,-7.948983693495393e-08,-10.091973304748535
1784786914.6806,arm_neutral,0.27,0,0,0,-5.027136649005115e-05,0.00030703836819157004,-1.461448846384883e-07,-10.089614868164062
1784786914.7009,arm_neutral,0.27,0,0,0,-4.5933687943033874e-05,0.0002799746871460229,-3.499735612422228e-08,-10.087273597717285
1784786914.7212,arm_neutral,0.27,0,0,0,-4.339186125434935e-05,0.0002634278207551688,1.0330040822736919e-07,-10.08571720123291
1784786914.7414,arm_neutral,0.27,0,0,0,-3.962370101362467e-05,0.0002404274418950081,2.086599124595523e-07,-10.083440780639648
1784786914.7619,arm_neutral,0.27,0,0,0,-3.4868891816586256e-05,0.0002132333320332691,7.066410034894943e-08,-10.0804443359375
1784786914.7821,arm_neutral,0.27,0,0,0,-3.259687218815088e-05,0.00020053767366334796,-6.910704541951418e-08,-10.078957557678223
1784786914.8024,arm_neutral,0.27,0,0,0,-2.9798262403346598e-05,0.0001826596853788942,-5.7119905250146985e-08,-10.076767921447754
1784786914.8227,arm_neutral,0.27,0,0,0,-2.673549170140177e-05,0.000161796371685341,-4.4345142669044435e-08,-10.073875427246094
1784786914.8430,arm_neutral,0.27,0,0,0,-2.5272893253713846e-05,0.00015243369853124022,-3.905370249412954e-08,-10.072473526000977
1784786914.8633,arm_neutral,0.27,0,0,0,-2.2938453184906393e-05,0.0001388983364449814,-3.2303432817570865e-08,-10.070351600646973
1784786914.8835,arm_neutral,0.27,0,0,0,-2.1036918042227626e-05,0.00012675634934566915,-2.670822141226381e-08,-10.068255424499512
1784786914.9038,arm_neutral,0.27,0,0,0,-1.907033583847806e-05,0.00011590243957471102,1.8133505363948643e-08,-10.066210746765137
1784786914.9243,arm_neutral,0.27,0,0,0,-1.792966213542968e-05,0.00010902350186370313,1.597982191015035e-08,-10.064841270446777
1784786914.9446,arm_neutral,0.27,0,0,0,-1.5871737559791654e-05,9.666384721640497e-05,1.2400050763972104e-08,-10.06216049194336
1784786914.9650,arm_neutral,0.27,0,0,0,-1.4318778994493186e-05,8.81851592566818e-05,1.0253643267787993e-08,-10.060173034667969
1784786914.9854,arm_neutral,0.27,0,0,0,-1.3424752978608012e-05,8.307664393214509e-05,9.026734915096313e-09,-10.058876991271973
1784786915.0058,arm_neutral,0.27,0,0,0,-1.2123913620598614e-05,7.303655002033338e-05,6.992195267230272e-09,-10.056293487548828
1784786915.0260,arm_neutral,0.27,0,0,0,-1.1127547622891143e-05,6.670667789876461e-05,5.780748324468732e-09,-10.054348945617676
