epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,256.247,1.0879,0.54913,0.19373,0.55821,0.96724,0.84912,0.86395,0.8946,0.51017,0.8965,0.91837,0.95137,0.8203,1.25528,0.60644,0.11599,0.58147,1.00508,0.0010232,0.0010232,0.0010232
76,259.377,1.03957,0.49704,0.19257,0.53639,0.95845,0.81859,0.85714,0.90187,0.52261,0.8979,0.89735,0.95431,0.82596,1.25709,0.58497,0.10992,0.58612,0.99851,0.00101,0.00101,0.00101
77,262.649,1.03974,0.47824,0.17066,0.52697,0.94119,0.85417,0.87662,0.90696,0.50886,0.90716,0.93055,0.95433,0.83119,1.27917,0.55473,0.10865,0.60108,0.99869,0.0009968,0.0009968,0.0009968
78,266.13,1.05938,0.51647,0.19567,0.53891,0.95309,0.82063,0.87144,0.89505,0.50264,0.88944,0.93033,0.95843,0.83564,1.29798,0.53956,0.11122,0.60734,1.00211,0.0009836,0.0009836,0.0009836
79,269.43,1.08514,0.54543,0.19543,0.5358,0.95419,0.89037,0.82874,0.89787,0.50044,0.91448,0.89116,0.95267,0.83255,1.31285,0.54302,0.09783,0.59711,1.00615,0.0009704,0.0009704,0.0009704
80,272.949,1.05347,0.50956,0.17954,0.53803,0.95722,0.89541,0.81534,0.89278,0.52464,0.91196,0.87075,0.9487,0.84271,1.23101,0.50565,0.09865,0.56384,0.98838,0.0009572,0.0009572,0.0009572
81,276.357,1.08795,0.51383,0.16942,0.53786,0.95041,0.81493,0.80877,0.87823,0.50194,0.88927,0.87417,0.94607,0.83528,1.27351,0.52264,0.10847,0.60076,0.99892,0.000944,0.000944,0.000944
82,279.545,1.04922,0.55347,0.18383,0.53496,0.9564,0.8654,0.84354,0.90366,0.52909,0.86781,0.89317,0.9484,0.84316,1.24535,0.49829,0.09313,0.57326,0.9939,0.0009308,0.0009308,0.0009308
83,283.119,1.03522,0.46491,0.17811,0.52955,0.94587,0.79083,0.84354,0.89104,0.51512,0.85204,0.89796,0.9491,0.83942,1.24323,0.49397,0.08487,0.56915,0.98573,0.0009176,0.0009176,0.0009176
84,286.301,1.04955,0.50208,0.18024,0.53867,0.9662,0.83547,0.84354,0.88227,0.51444,0.90593,0.92517,0.95474,0.84048,1.24552,0.49627,0.08215,0.56273,0.98251,0.0009044,0.0009044,0.0009044
85,289.5,1.02886,0.49991,0.18652,0.52715,0.95722,0.83962,0.85034,0.89279,0.50371,0.90007,0.91156,0.95076,0.83797,1.29213,0.50588,0.08595,0.59226,0.99828,0.0008912,0.0008912,0.0008912
86,292.727,1.01625,0.47937,0.19376,0.51643,0.95133,0.89244,0.84666,0.90315,0.51818,0.90474,0.89116,0.95221,0.83601,1.24209,0.4878,0.09111,0.56351,0.99079,0.000878,0.000878,0.000878
87,295.969,0.99487,0.46322,0.17842,0.51389,0.95066,0.85002,0.82993,0.88594,0.50679,0.91048,0.89116,0.94967,0.83074,1.2965,0.50262,0.09061,0.5925,1.00668,0.0008648,0.0008648,0.0008648
88,299.18,1.04916,0.54709,0.16808,0.5212,0.94899,0.85326,0.85034,0.8979,0.53314,0.90744,0.90476,0.95141,0.85496,1.24443,0.45759,0.08884,0.56836,0.98782,0.0008516,0.0008516,0.0008516
89,302.72,1.02117,0.4882,0.1664,0.50675,0.93567,0.84443,0.88623,0.89772,0.52613,0.87684,0.92024,0.9436,0.84812,1.28199,0.47664,0.08923,0.5806,0.99711,0.0008384,0.0008384,0.0008384
90,305.94,1.02102,0.48704,0.17351,0.5135,0.93754,0.84966,0.84585,0.89303,0.51127,0.87969,0.91156,0.95223,0.83765,1.25897,0.5007,0.08306,0.585,0.99466,0.0008252,0.0008252,0.0008252
91,308.994,1.01999,0.45803,0.16277,0.50965,0.93839,0.85529,0.84354,0.90525,0.50823,0.90591,0.89116,0.95466,0.84941,1.28537,0.51133,0.08968,0.58747,1.01145,0.000812,0.000812,0.000812
92,312.298,1.02926,0.47547,0.16241,0.51239,0.93764,0.85685,0.83673,0.90782,0.51428,0.91383,0.88435,0.95527,0.83923,1.26189,0.51886,0.0995,0.56497,1.01186,0.0007988,0.0007988,0.0007988
93,315.721,1.06367,0.50474,0.16556,0.5286,0.94773,0.87763,0.77551,0.87441,0.49148,0.92049,0.8663,0.95191,0.8399,1.27,0.52414,0.10335,0.57624,1.02206,0.0007856,0.0007856,0.0007856
94,318.915,1.01833,0.45487,0.16877,0.51716,0.95197,0.89732,0.80272,0.8903,0.50492,0.91343,0.86134,0.95059,0.84779,1.25183,0.50744,0.08829,0.58202,1.02064,0.0007724,0.0007724,0.0007724
95,322.182,1.02216,0.44571,0.1608,0.50182,0.9406,0.86604,0.80272,0.87379,0.47185,0.93405,0.86708,0.95336,0.83516,1.32237,0.53315,0.0953,0.57649,1.03606,0.0007592,0.0007592,0.0007592
96,325.533,0.98918,0.45163,0.16445,0.51168,0.94114,0.88469,0.82313,0.90954,0.51211,0.93451,0.87366,0.95401,0.83642,1.27803,0.53027,0.0955,0.57292,1.01166,0.000746,0.000746,0.000746
97,328.841,0.99643,0.46307,0.15991,0.50011,0.9347,0.88478,0.83583,0.90908,0.52131,0.92653,0.87755,0.95037,0.82459,1.25413,0.55325,0.08225,0.56694,0.99521,0.0007328,0.0007328,0.0007328
98,332.132,1.01356,0.45419,0.16396,0.50666,0.9405,0.86675,0.83673,0.9011,0.51638,0.91667,0.88435,0.95132,0.83784,1.26843,0.52082,0.08367,0.57605,0.99553,0.0007196,0.0007196,0.0007196
99,335.521,1.02455,0.48316,0.15866,0.51007,0.93916,0.87641,0.83673,0.89374,0.51487,0.92014,0.87755,0.9493,0.83261,1.27831,0.54256,0.08169,0.5891,0.99408,0.0007064,0.0007064,0.0007064
100,338.791,0.9964,0.48937,0.16041,0.50083,0.93198,0.87821,0.82993,0.90079,0.52633,0.91121,0.87755,0.94887,0.84733,1.24607,0.50734,0.08079,0.56768,1.00577,0.0006932,0.0006932,0.0006932
101,342.264,1.0099,0.47376,0.16218,0.51191,0.94493,0.85725,0.85714,0.90381,0.51117,0.91256,0.91156,0.95328,0.83719,1.315,0.54586,0.08774,0.58348,1.02706,0.00068,0.00068,0.00068
102,345.495,0.96305,0.43597,0.14457,0.48581,0.93552,0.87589,0.86415,0.91734,0.51215,0.91898,0.90476,0.9528,0.84685,1.29612,0.51711,0.09182,0.57606,1.01266,0.0006668,0.0006668,0.0006668
